     ____
    / _  |   Frida 17.17.0 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   Prefer a GUI? Luma is the official Frida app, with a live REPL,
   . . . .   persistent sessions & collaboration. https://luma.frida.re/
   . . . .
   . . . .   Connected to iPhone (id=00008150-00093DA00ABB401C)
Spawning `com.oceanwing.SoundCore.G8AW4BQ7RV`...

==================== PROCESS ====================
frida       : 17.17.0
pid / arch  : 6592 / arm64
page size   : 16384
objc avail  : true

==================== MODULES OF INTEREST ====================
  SVGKit  @ 0x108cc4000  (262144 bytes)
  Security  @ 0x198302000  (2020480 bytes)
  SensorsAnalyticsSDK  @ 0x108d6c000  (688128 bytes)
  SnapKit  @ 0x108f38000  (81920 bytes)
  SoundCoreIotKit  @ 0x108f8c000  (8749056 bytes)
  Starscream  @ 0x109f64000  (163840 bytes)
  SwiftEntryKit  @ 0x109fe8000  (294912 bytes)
  TZImagePickerController  @ 0x10a0f4000  (278528 bytes)
  Then  @ 0x10a198000  (32768 bytes)
  Toast  @ 0x10a1b4000  (49152 bytes)
  ValueAnimator  @ 0x10a1d4000  (98304 bytes)
  VisualEffectView  @ 0x10a228000  (49152 bytes)
  WebViewJavascriptBridge  @ 0x10a24c000  (49152 bytes)
  YYImage  @ 0x10a26c000  (81920 bytes)
  YYText  @ 0x10a2a0000  (376832 bytes)
  ZIPFoundation  @ 0x10a370000  (180224 bytes)
  ZLPhotoBrowser  @ 0x10a3e0000  (1130496 bytes)
  ZXLog  @ 0x10a758000  (81920 bytes)
  Zip  @ 0x10a788000  (81920 bytes)
  audio_session  @ 0x10a7c0000  (65536 bytes)
  audioplayers_darwin  @ 0x10a7e4000  (81920 bytes)
  background_downloader  @ 0x10a820000  (425984 bytes)
  connectivity_plus  @ 0x10a938000  (49152 bytes)
  device_info_plus  @ 0x10a960000  (32768 bytes)
  disk_space_plus  @ 0x10a978000  (49152 bytes)
  ffmpegkit  @ 0x10a99c000  (327680 bytes)
  flutter_appauth  @ 0x10aa28000  (49152 bytes)
  flutter_archive  @ 0x10aa4c000  (81920 bytes)
  flutter_boost  @ 0x10aa84000  (65536 bytes)
  flutter_keyboard_visibility_temp_fork  @ 0x10aab8000  (49152 bytes)
  fluttertoast  @ 0x10aad8000  (49152 bytes)
  gallery_saver  @ 0x10aaf8000  (49152 bytes)
  hearid  @ 0x10ab1c000  (49152 bytes)
  image_gallery_saver  @ 0x10ab3c000  (65536 bytes)
  just_waveform  @ 0x10ab6c000  (32768 bytes)
  libavcodec  @ 0x10ab84000  (8781824 bytes)
  libavdevice  @ 0x10ba54000  (32768 bytes)
  libavfilter  @ 0x10ba68000  (1884160 bytes)
  libavformat  @ 0x10bcc4000  (1671168 bytes)
  libavutil  @ 0x10beac000  (393216 bytes)
  libpag  @ 0x10c034000  (1916928 bytes)
  libswresample  @ 0x10c258000  (180224 bytes)
  libswscale  @ 0x10c2c4000  (311296 bytes)
  libwebp  @ 0x10c324000  (360448 bytes)
  nanopb  @ 0x10c3c8000  (32768 bytes)
  package_info_plus  @ 0x10c3e0000  (32768 bytes)
  path_provider_foundation  @ 0x10c3f8000  (49152 bytes)
  pcm_play  @ 0x10c420000  (32768 bytes)
  pop  @ 0x10c438000  (131072 bytes)
  printing  @ 0x10c48c000  (98304 bytes)
  qq_music_healing_plugin  @ 0x10c4c8000  (65536 bytes)
  quill_native_bridge_ios  @ 0x10c4fc000  (65536 bytes)
  sensors_analytics_flutter_plugin  @ 0x10c530000  (49152 bytes)
  share_plus  @ 0x10c550000  (49152 bytes)
  shared_preferences_foundation  @ 0x10c570000  (81920 bytes)
  sqflite  @ 0x10c5a8000  (65536 bytes)
  sqflite_sqlcipher  @ 0x10c5d0000  (49152 bytes)
  taglib  @ 0x10c5f4000  (557056 bytes)
  url_launcher_ios  @ 0x10c750000  (65536 bytes)
  vibration  @ 0x10c784000  (49152 bytes)
  video_player_avfoundation  @ 0x10c7a8000  (81920 bytes)
  volume_controller  @ 0x10c7e0000  (49152 bytes)
  wakelock_plus  @ 0x10c808000  (32768 bytes)
  webview_flutter_wkwebview  @ 0x10c820000  (180224 bytes)
  JLOTA  @ 0x10c8a8000  (49152 bytes)
  qqmusicsdk  @ 0x10c8c0000  (11616256 bytes)
  Flutter  @ 0x10d5c4000  (8912896 bytes)
  libcommonCrypto.dylib  @ 0x2b31ac000  (54104 bytes)
  MessageSecurity  @ 0x271be5000  (386496 bytes)
  libboringssl.dylib  @ 0x1b9ba7000  (872608 bytes)
  SecurityFoundation  @ 0x243219000  (132736 bytes)

==================== CANDIDATE OBJC CLASSES ====================
  7534 matches
    AAAbsintheSigner
    AAAbsintheSignerContextCache
    AAAddEmailUIRequest
    AAAppleIDSettingsRequest
    AAAppleTVRequest
    AAAuthenticateRequest
    AAAvailabilityRequest
    AABeneficiaryClaimUIRequest
    AACloudKitDevicesListRequest
    AACloudKitMigrationStateRequest
    AACloudKitStartMigrationRequest
    AACompleteEmailVettingRequest
    AACustodianRecoveryRequestContext
    AACustodianSetupRequestContext
    AACustodianUpdateRequestContext
    AADependentAuthenticationUIRequest
    AADeviceListRequest
    AADeviceProvisioningRequest
    AAEmailVettingRequest
    AAFMIPAuthenticateRequest
    AAFTapToRadarRequest
    AAFamilyDetailsRequest
    AAFamilyEligibilityRequest
    AAFamilyRequest
    AAGenericTermsUIRequest
    AAGrandSlamSigner
    AAInitiateEmailVettingRequest
    AALoginAccountRequest
    AALoginDelegatesRequest
    AALoginOrCreateDelegatesRequest
    AALoginResponseiCloudTokens
    AAMyPhotoRequest
    AAPasswordSecurityUIRequest
    AAPaymentSummaryRequest
    AAPaymentUIRequest
    AAPersonalInfoUIRequest
    AAQuotaDepletionAlert
    AAQuotaInfoRequest
    AAQuotaInfoResponse
    AARegisterRequest
    AARequest
    AARequester
    AASecondaryAuthenticationRequest
    AASetupAssistantAuthenticateRequest
    AASetupAssistantConfigRequest
    AASetupAssistantCreateRequest
    AASetupAssistantSetupDelegatesRequest
    AASetupAssistantTermsFetchRequest
    AASetupAssistantUpdateRequest
    AASetupAssistantUpgradeStatusRequest
    AASetupAssistantUpgradeStatusResponse
    AASignInFlowController
    AASignInOperationHelper
    AASignInWithAppleManagementUIRequest
    AASignOutFlowController
    AASignedOutAccountKeychain
    AASigningSession
    AASigningSessionRequest
    AASigningSessionResponse
    AATermsReportUserActionRequest
    AATrustedContactFetchRequest
    AATrustedDeviceListRequest
    AAURLConfigurationRequest
    AAUpdateAccountUIRequest
    AAUpdateNameRequest
    AAUpdateProvisioningRequest
    AAUpgradeiOSTermsResponse
    AAWalrusPCSAuthRequest
    AAiCloudLoginAccountRequester
    AAiCloudTermsAgreeRequest
    AAiCloudTermsDisagreeRequest
    AAiCloudTermsStringRequest
    ABPKMLNetworkBufferV2
    ABPKMLNetworkV2
    ABSPersonFetchRequest
    ACCNavigationRoadObjectRoadSignInfo
    ACConfigEncryptorAES
    ACEncipher
    ACNetworkUtility
    ACOAuthSigner
    ADNetworkProvider
    ADNetworkProviderLayoutShape
    ADSignpostUtils
    AFAnnounceBinaryOutcomeRequest
    AFAudioPlaybackRequest
    AFCarPlayAnnouncementRequestCapabilityProvider
    AFContextRequest
    AFCreateAlarmRequest
    AFCreateMessageRequest
    AFDeleteAlarmRequest
    AFDeviceRequestHandlingRecord
    AFDictationDiscoverabilitySignalsStreamManager
    AFDismissAlarmRequest
    AFDismissTimerRequest
    AFExplicitRequestContext
    AFGetSettingsRequest
    AFGetTimerRequest
    AFHeadphonesAnnouncementRequestCapabilityProvider
    AFInitiateCallRequest
    AFLocationFetchRequest
    AFNetworkAvailability
    AFRemoteRequest
    AFRemoteRequestWatcher
    AFRequestCompletionOptions
    AFRequestHandlingContext
    AFRequestInfo
    AFSearchAlarmsRequest
    AFSetSettingsRequest
    AFSetTimerRequest
    AFShowAlarmRequest
    AFShowNextEventRequest
    AFShowSettingRequest
    AFShowTimerRequest
    AFSiriAceRequest
    AFSiriAcousticIDRequest
    AFSiriActivationRequest
    AFSiriAnnounceDropInCallRequest
    AFSiriAnnounceIncomingCallRequest
    AFSiriAnnounceWorkoutReminderRequest
    AFSiriAnnounceWorkoutVoiceFeedbackRequest
    AFSiriAnnouncementRequestCapabilityManager
    AFSiriDebugUIRequest
    AFSiriHomeAutomationBackgroundRequest
    AFSiriHomeAutomationRequestInfo
    AFSiriMusicSmartPlayRequest
    AFSiriMusicSubscriptionLeaseTakenRequest
    AFSiriNotificationRequest
    AFSiriRequest
    AFSiriRequestSucceededResponse
    AFSiriUserNotificationRequest
    AFSiriUserNotificationRequestCapabilityManager
    AFSpeechRequestOptions
    AFSpeechTestRequestOptions
    AFSpeechToken
    AFTestRequestOptions
    AFUpdateAlarmRequest
    AFUpdateMessageRequest
    AIASRequest
    AKAbsintheSigner
    AKAppleIDPasskeyCredentialRequestContext
    AKAppleIDSigningController
    AKAppleIDSigningDaemonInterface
    AKAttestationRequestData
    AKAttestationSigner
    AKAuthorizationAppSignInDiscovery
    AKAuthorizationCredentialStateRequest
    AKAuthorizationRequest
    AKAuthorizationRevokeUpgradeContext
    AKAuthorizationUpgradeContext
    AKBaseSignInViewController
    AKBasicServerRequest
    AKCATiburonRequestAttemptReporter
    AKCATiburonRequestReporter
    AKCircleRequestContext
    AKCircleRequestPayload
    AKCredentialRequest
    AKCredentialRequestContext
    AKDeviceListRequestContext
    AKIDPProvidedSignInViewController
    AKInlineSignInViewController
    AKLog.AKFileLogRequestModel
    AKMasterToken
    AKModalSignInViewController
    AKNetworkObserver
    AKParentalApprovalRequestViewController
    AKPasswordRequest
    AKServerRequestConfiguration
    AKSignInWithAppleAccount
    AKSignInWithAppleAccountShareInfo
    AKSignInWithAppleAvatarManager
    AKSignInWithAppleController
    AKSignInWithAppleRequestContext
    AKSimpleProfileContextUpgrade
    AKTapToSignInViewController
    AKToken
    AKURLRequestApprover
    AMSAbsintheSignature
    AMSAccountDeviceInfoTask
    AMSAccountPostSignInService
    AMSAccountSignOutService
    AMSAuthenticateRequest
    AMSBadgeRequest
    AMSBagNetworkDataSource
    AMSBagNetworkTask
    AMSBagNetworkTaskResult
    AMSBiometricHeaderNames
    AMSBiometricsSignatureRequest
    AMSBiometricsSignatureResult
    AMSBiometricsSignatureTask
    AMSBiometricsTokenUpdateTask
    AMSBiometricsTokenUpdateTaskShim
    AMSCB1PBagServiceObservationToken
    AMSCB1PEncodeHTTPRequestOptions
    AMSCB1PExecuteHTTPRequestOptions
    AMSCB1PHTTPHeaderDictionary
    AMSCB1PHTTPRequest
    AMSCB1PMediaRequest
    AMSCB1PMediaToken
    AMSCB1PMediaTokenProvider
    AMSCB1PMediaTokenRequestOptions
    AMSCB1PNetworkingProvider
    AMSChannelLinkRequestParametersBuilder
    AMSDelegateAuthenticateRequest
    AMSDelegateAuthenticateRequestTask
    AMSDelegatePaymentSheetRequest
    AMSDelegatePurchaseRequest
    AMSDelegateTokenTask
    AMSDeveloperSilentAuthToken
    AMSDeveloperSilentAuthTokenConsentTask
    AMSDeveloperSilentAuthTokenFetchTask
    AMSDeveloperSilentAuthTokenPerformer
    AMSDeveloperSilentAuthTokenUpdateConsentTask
    AMSDeveloperSilentAuthTokenUpdateTask
    AMSDialogRequest
    AMSEngagementEnqueueRequest
    AMSEngagementMessageRequest
    AMSEngagementRequest
    AMSEngagementSyncRequest
    AMSFDSRequest
    AMSFairPlayDeviceIdentityNetworkProvider
    AMSMediaRequestEncoder
    AMSMediaRestrictionsEditTokenResult
    AMSMediaToken
    AMSMediaTokenService
    AMSMediaTokenServiceBagProperties
    AMSMediaTokenServiceDeserializer
    AMSMediaTokenServiceKeychainStore
    AMSMediaTokenServicePATChallenge
    AMSMediaTokenServicePATFetcher
    AMSMediaTokenServiceStore
    AMSMediaTokenServiceThrottler
    AMSMockNetworkProxy
    AMSMockURLRequestComparator
    AMSNetworkConstraints
    AMSNetworkQualityInquiry
    AMSOnDeviceDataSyncRequest
    AMSPACTokenTask
    AMSPasscodeHeaderNames
    AMSPaymentAuthorizationDialogRequest
    AMSPaymentRequest
    AMSPaymentSheetRequest
    AMSPurchaseRequestEncoder
    AMSRemoteSignInRequest
    AMSServiceTokenTask
    AMSSignInContext
    AMSSignOutTask
    AMSSigningSecurityService
    AMSStorefrontHeaderValueCreation
    AMSURLRequest
    AMSURLRequestDecoration
    AMSURLRequestEncoder
    AMSURLRequestEncoderResult
    AMSURLRequestProperties
    AMSUnsignedChar
    AMSUnsignedInt
    AMSUnsignedInteger
    AMSUnsignedLong
    AMSUnsignedLongLong
    AMSUnsignedShort
    AMZNAuthorizeRequest
    AMZNCodePairRequest
    AMZNCreateCodePairRequest
    AMZNDelegateOTCExchangeRequest
    AMZNGetTokenRequest
    AMZNGetTokenResult
    AMZNLWA3POpenIdRequest
    AMZNLWAAccessToken
    AMZNLWAAccessTokenRequest
    AMZNLWAAccessTokenResponse
    AMZNLWAAccessTokenRetriever
    AMZNLWAAuthPortalRequest
    AMZNLWACodeExchangeRequest
    AMZNLWAExchangeRequest
    AMZNLWAProfileExchangerRequest
    AMZNLWARefreshToken
    AMZNLWASignInViewManager
    AMZNLWAToken
    AMZNLWATokenManager
    AMZNLogoutRequest
    AMZNOneTimeCodeRequest
    AMZNTokenForCodePairRequest
    AMZNTokenForCodePairRetriever
    AMZNWebViewAuthorizeRequest
    AMZNWorkflowRequest
    AMZNWorkflowToken
    ANSTBaseNetworkEspresso
    ANSTE5MLNetwork
    APMAppDelegateInterceptor
    APMEExperimentRequestBuilder
    APMPBExperimentRequest
    APMPBSkAdNetworkConversionValueRequest
    APMPBSkAdNetworkConversionValueResponse
    APMProductsRequest
    APSAppTokenInfo
    APSDNSRequest
    APSSignDataWithIdentityRequest
    APSSignDataWithIdentityResponse
    APSTimeSyncNetworkClock
    APSURLToken
    APSURLTokenInfo
    ARGeoTrackingLocationRequestHandler
    ARImageRotationTechnique
    ASAccountAuthenticationModificationReplacePasswordWithSignInWithAppleRequest
    ASAccountAuthenticationModificationRequest
    ASAccountAuthenticationModificationUpgradePasswordToStrongPasswordRequest
    ASAuthorizationAppleIDRequest
    ASAuthorizationOpenIDRequest
    ASAuthorizationPasswordRequest
    ASAuthorizationPlatformPublicKeyCredentialAssertionRequest
    ASAuthorizationPlatformPublicKeyCredentialRegistrationRequest
    ASAuthorizationProviderExtensionAuthorizationRequest
    ASAuthorizationRequest
    ASAuthorizationSecurityKeyPublicKeyCredentialAssertionRequest
    ASAuthorizationSecurityKeyPublicKeyCredentialRegistrationRequest
    ASAuthorizationSingleSignOnCredential
    ASAuthorizationSingleSignOnProvider
    ASAuthorizationSingleSignOnRequest
    ASCCollectionRequest
    ASCCredentialRequestContext
    ASCLockupBatchRequest
    ASCLockupFeatureSignpostTags
    ASCLockupFeatureSingleSignOn
    ASCLockupRequest
    ASCSignpostPredicate
    ASCSignpostSpan
    ASCredentialRequestBasicPaneViewController
    ASCredentialRequestButton
    ASCredentialRequestButtonContinue
    ASCredentialRequestCABLEAuthenticatingViewController
    ASCredentialRequestCABLEClientViewController
    ASCredentialRequestCABLEConnectingViewController
    ASCredentialRequestCABLEConsentViewController
    ASCredentialRequestCABLEErrorViewController
    ASCredentialRequestConfirmButtonSubPane
    ASCredentialRequestContainerViewController
    ASCredentialRequestContainerViewControllerAnimator
    ASCredentialRequestEnableBluetoothViewController
    ASCredentialRequestEnableICloudKeychainViewController
    ASCredentialRequestIconGenerator
    ASCredentialRequestPaneContext
    ASCredentialRequestPaneHeaderConfiguration
    ASCredentialRequestPaneViewController
    ASCredentialRequestSecondaryButton
    ASCredentialRequestSecurityKeyStringUtilities
    ASCredentialRequestSecurityKeyViewController
    ASCredentialRequestSubPane
    ASDAccountLookupRequest
    ASDAccountLookupRequestOptions
    ASDAlertPresentationRequest
    ASDCheckQueueRequest
    ASDCheckQueueRequestOptions
    ASDClaimApplicationsRequest
    ASDClaimApplicationsRequestOptions
    ASDClipRequest
    ASDCompleteCoordinatorsRequest
    ASDCreatePlaceholdersRequest
    ASDCreatePlaceholdersRequestOptions
    ASDDownloadQueueRequestOptions
    ASDEphemeralRequest
    ASDExtensionRequest
    ASDExternalManifestRequest
    ASDExternalManifestRequestOptions
    ASDGatherLogsRequest
    ASDGatherLogsRequestOptions
    ASDIAPInfoRequest
    ASDIAPInfoRequestOptions
    ASDIAPInfoUpdateRequest
    ASDInstallManifestRequest
    ASDInstallManifestRequestOptions
    ASDInstallManifestRequestResponse
    ASDLaunchableAppsRequest
    ASDLaunchableAppsRequestOptions
    ASDManagedApplicationRequest
    ASDManagedApplicationRequestOptions
    ASDManagedRequestStatus
    ASDManifestRequest
    ASDMigrationRequest
    ASDMigrationRequestOptions
    ASDPersistentRequest
    ASDPostBulletinRequest
    ASDPostBulletinRequestOptions
    ASDPurchaseRequest
    ASDPurchaseRequestOptions
    ASDPurgeAppsRequest
    ASDPurgeAppsRequestOptions
    ASDPurgeableAppRequest
    ASDPurgeableAppRequestOptions
    ASDPushCacheDeleteUpdateRequest
    ASDRepairApplicationRequest
    ASDRepairApplicationRequestOptions
    ASDRequest
    ASDRequestBroker
    ASDRequestOptions
    ASDRequestResponse
    ASDRestoreApplicationsRequest
    ASDRestoreApplicationsRequestOptions
    ASDRestoreApplicationsRequestResponse
    ASDRestoreDemotedApplicationsRequest
    ASDRestoreDemotedApplicationsRequestOptions
    ASDRestoreTotalDownloadSizeEstimateRequest
    ASDSystemAppRequest
    ASDVPPRequest
    ASDViewPresentationRequest
    ASGeneratePasswordsRequest
    ASKAuthHeaderRouting
    ASKAuthHeaderRoutingHeaderConfig
    ASKAuthHeaderRoutingPlugin
    ASKCipherPadding
    ASKCipherPaddingCompanion
    ASKEcdhKeyUtils
    ASKKtor_client_coreHttpRequestBuilder
    ASKKtor_client_coreHttpRequestBuilderCompanion
    ASKKtor_client_coreHttpRequestData
    ASKKtor_client_coreHttpRequestPipeline
    ASKKtor_client_coreHttpRequestPipelinePhases
    ASKKtor_httpHeaderValueParam
    ASKKtor_httpHeaderValueWithParameters
    ASKKtor_httpHeaderValueWithParametersCompanion
    ASKKtor_httpHeadersBuilder
    ASKNetworkConfigManager
    ASKSecurityCryptoRouting
    ASKSecurityCryptoRoutingContains
    ASKSecurityCryptoRoutingPlugin
    ASKSecurityCryptoRoutingSecurityCryptoConfig
    ASKWsRequest
    ASKWsRequestCompanion
    ASOneTimeCodeCredentialRequest
    ASPasskeyCredentialRequest
    ASPasskeyCredentialRequestParameters
    ASPasswordCredentialRequest
    ASPasswordSavingManagerRequest
    ASRSchemaASRConfusionPairToken
    ASRSchemaASRRequestContext
    ASRSchemaASRToken
    ASRSchemaASRTokenTier1
    ASSavePasswordRequest
    ATAudioTap
    ATAudioTapDescription
    AUAudioTapIOUnit
    AVAnnotation
    AVAnnotationImageRepresentation
    AVAnnotationPKDrawingRepresentation
    AVAnnotationPathRepresentation
    AVAnnotationRepresentation
    AVAnnotationSVGRepresentation
    AVAnnotationShapeRepresentation
    AVAnnotationTextRepresentation
    AVAnnotationUnknownRepresentation
    AVAssetClientURLRequestHelper
    AVAssetCustomURLRequest
    AVAssetReaderOutputAnnotationAdaptor
    AVAssetResourceLoadingContentInformationRequest
    AVAssetResourceLoadingContentInformationRequestInternal
    AVAssetResourceLoadingDataRequest
    AVAssetResourceLoadingDataRequestInternal
    AVAssetResourceLoadingRequest
    AVAssetResourceLoadingRequestInternal
    AVAssetResourceLoadingRequestor
    AVAssetResourceLoadingRequestorInternal
    AVAssetResourceRenewalRequest
    AVAssetWriterInputAnnotationAdaptor
    AVAssetWriterInputMediaDataRequester
    AVAsynchronousCIImageFilteringRequest
    AVAsynchronousCIImageFilteringRequestInternal
    AVAsynchronousVideoCompositionRequest
    AVAsynchronousVideoCompositionRequestInternal
    AVAudioSharedBufferToken
    AVCAuditToken
    AVCBasebandAudioTap
    AVCBasebandAudioTapRegistrationResult
    AVCCaptionsToken
    AVCMediaRecorderRequestConfiguration
    AVCMomentsRequest
    AVCNetworkAddress
    AVCaptureDeferredPhotoProcessingRequest
    AVCaptureDeviceControlRequest
    AVCaptureDeviceControlRequestQueue
    AVCaptureDeviceDynamicAspectRatioRequest
    AVCaptureDeviceFakeBiasControlRequest
    AVCaptureDeviceRotationCoordinator
    AVCapturePhotoRequest
    AVCapturePrepareBracketRequest
    AVCapturePreparedPhotoSettingsArrayRequest
    AVCaptureStillImageRequest
    AVContentKeyPSSHRequestTracker
    AVContentKeyRequest
    AVContentKeyRequestInternal
    AVContentKeyRequestParams
    AVContentKeyResponseAuthorizationToken
    AVExternalDeviceScreenBorrowToken
    AVExternalDeviceTurnByTurnToken
    AVFigEndpointSecondDisplayModeToken
    AVFigEndpointUIAgentOutputDeviceAuthorizationRequestImpl
    AVHapticProcessTaskToken
    AVInfoTabCoordinator
    AVKit.AVInfoTabViewController
    AVMediaDataRequester
    AVMetadataItemValueRequest
    AVMetadataItemValueRequestInternal
    AVMetricContentKeyRequestEvent
    AVMetricHLSMediaSegmentRequestEvent
    AVMetricHLSPlaylistRequestEvent
    AVMetricMediaResourceRequestEvent
    AVMomentCaptureMovieRequest
    AVNSURLProtocolRequest
    AVNetworkPlaybackPerfHUDLayer
    AVOutputDeviceAuthorizationRequest
    AVOutputDeviceAuthorizationRequestInternal
    AVOutputDeviceScreenBorrowToken
    AVOutputDeviceTurnByTurnToken
    AVPersistableContentKeyRequest
    AVPlannedSegmentWritingRequest
    AVResourceReclamationEventObserverToken
    AVSampleBufferRequest
    AVSampleBufferRequestInternal
    AVSpeechSynthesisProviderRequest
    AWDBltRequestToResponseDelay
    AWDCFNetworkCacheMetrics
    AWDCFNetworkStreamTaskTiming
    AWDCFNetworkTaskMetrics
    AWDCFNetworkTransactionMetrics
    AWDCFNetworkW3CNavigationTiming
    AWDCoreRoutineLMPRequestedInstance
    AWDCoreRoutineRankRoutesRequestedInstance
    AWDHoneybeeSignature
    AWDIDSSessionReinitiateRequested
    AWDIDSWebTunnelRequestCompleted
    AWDLibnetcoreNetworkdStatsReport
    AWDMMCSGetRequestInfo
    AWDMMCSPutRequestInfo
    AWDNetworkServiceProxyConnectionStatistics
    AWDNetworkServiceProxyControlRequestStatistics
    AWDNetworkServiceProxyProbeStatistics
    AWDNetworkServiceProxyRequestStatistics
    AWDNetworkUsage
    AWDPowerNetworkUsageMetrics
    AWDSiriNetworkAnalyzerRun
    AWDSiriRequestRecord
    AWDWiFiMetricCustomNetworkSetting
    AWDWiFiMetricNetworkPrefs
    AWDWiFiMetricsKnownNetworksEvent
    AWDWiFiMetricsManagerBGScanBlacklistedNetworks
    AWDWiFiMetricsManagerBlacklistedNetworkInfo
    AWDWiFiMetricsManagerNetworkTransitionCumulative
    AWDWiFiMetricsManagerNetworkTransitionRecord
    AWDWiFiMetricsManagerNetworkTransitionSession
    AWDWiFiOtaSystemInfo
    AWDWifiMostUsedNetworks
    AXDataAnnotation
    AXDragEndpointRequestSatisfier
    AXIPCOutstandingAsyncRequest
    AXMDataAnnotation
    AXMLayoutHeader
    AXMOutputRequest
    AXMOutputRequestHandle
    AXMSequenceRequestManager
    AXMSignificantEventDetectorNode
    AXMindNetNetwork
    AXOutputRequest
    AXRequest
    AXShotflowNetwork
    AXSubsystemVOTAudio
    AXUIContextDrawingAnnotation
    AcmeCertRequest
    ActivityKit.ActivityPushTokenClient
    ActivityKit.ActivityPushTokenManager
    Alamofire.DataRequest
    Alamofire.DownloadRequest
    Alamofire.NetworkReachabilityManager
    Alamofire.Request
    Alamofire.StreamRequest
    Alamofire.UploadRequest
    AlchemistBase.Signposter
    AlchemistService.InferenceRequest
    AlchemistService.Signposter
    AnnotatedCacheValue
    AppProtection.ClientPolicyObservationToken
    AppProtection.DefaultSubjectMonitorToken
    AppleMediaServices.AMSMetricsConsumerIDRotate
